document ID:        1  2  3  4  5  6  7  8  9  10  

A                   1  1  1  1  1  1  1  1  1  1  
ABAISSIEZ           0  0  0  0  0  0  0  0  1  0  
ABANDON             1  1  0  1  0  0  0  0  0  0  
ABANDONED           0  0  0  1  0  0  0  0  0  0  
ABASE               0  0  0  0  0  0  0  0  0  1  
ABATE               0  0  0  0  0  1  1  0  1  0  
ABATED              0  0  0  0  1  0  0  1  0  0  
ABATEMENT           0  0  0  0  0  1  0  0  0  0  
ABATEMENTS          0  0  0  0  0  0  1  0  0  0  
ABBESS              0  0  0  1  1  0  0  0  0  0  
ABBEY               0  0  0  0  1  0  0  1  1  1  
ABED                0  0  1  1  0  1  0  0  1  0  
ABEL                0  0  0  0  0  0  0  0  1  0  
ABERGA              0  1  0  0  0  0  0  0  0  0  
ABERGAVENNY         0  1  0  0  0  0  0  0  0  0  
ABETTING            0  0  0  1  0  0  0  0  0  0  
ABHOR               1  0  0  1  1  1  0  0  0  0  
ABHORR              0  0  1  0  1  1  0  0  0  0  
ABHORRED            0  0  0  0  0  0  1  1  0  0  
ABHORRING           0  0  0  1  1  0  0  0  0  0  
ABIDE               1  1  1  1  0  1  0  1  1  0  
ABIDES              0  0  1  0  0  0  0  1  0  1  
ABILITIES           0  0  0  0  1  0  0  0  0  0  
ABILITY             1  0  0  0  0  0  1  1  0  0  
ABJECT              0  1  0  0  1  0  0  1  0  1  
ABLE                1  1  1  1  1  1  1  1  1  1  
ABOARD              0  0  1  1  1  1  1  0  1  1  
ABODE               0  0  1  0  0  1  0  0  0  1  
ABODED              0  1  0  0  0  0  0  0  0  0  
ABODEMENTS          0  1  0  0  0  0  0  0  0  0  
ABODING             0  1  0  0  0  0  0  0  0  0  
ABOMINABLE          0  1  0  1  0  0  1  1  1  1  
ABOMINATIONS        0  0  1  0  0  0  0  0  0  0  
ABORTIVE            0  0  0  0  0  0  0  0  0  1  
ABOUND              0  1  0  0  0  0  0  0  1  1  
ABOUNDING           0  0  0  0  0  0  0  0  1  0  
ABOUT               1  1  1  1  1  1  1  1  1  1  
ABOVE               1  1  1  1  1  1  1  1  1  1  
ABRAM               0  0  0  0  1  0  0  0  0  0  
ABREAST             0  1  0  0  0  0  0  0  1  0  
ABRIDGE             0  0  0  0  0  0  0  1  0  0  
ABRIDGEMENT         0  0  0  0  0  0  0  0  1  0  
ABROACH             0  0  0  0  0  0  0  1  0  0  
